Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-01,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-02,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-03,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-04,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-05,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-06,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-07,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-08,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-09,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-10,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-11,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-12,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-13,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-14,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-15,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-16,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-17,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-18,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Resolverworks,Resolverworks,Resolverworks,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Blockful,Blockful,Blockful,-821.9175,-821.9175,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Unruggable,Unruggable,Unruggable,-1095.89,-1095.89,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Wildcard,Wildcard,Wildcard,-547.945,-547.945,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,EFP,EFP,EFP,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Namespace,Namespace,Namespace,-547.945,-547.945,USDC,1
Stream,2024-01-19,Service Providers,Service Providers,Service Providers,Unicorn,Unicorn,Unicorn,-547.945,-547.945,USDC,1
Stream,2024-01-20,Service Providers,Service Providers,Service Providers,ETHLimo,ETHLimo,ETHLimo,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-20,Service Providers,Service Providers,Service Providers,Namehash,Namehash,Namehash,-1643.835,-1643.835,USDC,1
